Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2018-06-01 01:09:00,817060,817673,816525,816525,5.49995532,4494455.5013,817180.36598
2018-06-01 01:10:00,816525,817091,816163,817091,13.79789656,11263413.733,816313.82611
2018-06-01 01:11:00,816625,816862,815733,815980,14.1906745,11582648.455999998,816215.4981399998
2018-06-01 01:12:00,815754,816705,815592,816662,13.31038704,10865473.159000002,816315.3428
2018-06-01 01:13:00,816682,817575,816682,817513,15.54553927,12700256.607,816971.11865
2018-06-01 01:14:00,817513,818106,817270,817805,7.24584202,5924995.7816,817709.76585
2018-06-01 01:15:00,818166,818242,817706,817706,10.08470112,8247724.4839,817845.20788
2018-06-01 01:16:00,817706,817857,817329,817665,7.68703061,6284966.7275,817606.56961
2018-06-01 01:17:00,817333,818730,817329,818730,3.39471072,2777509.117,818187.27605
2018-06-01 01:18:00,818878,818878,818558,818646,0.9688,793170.3981,818714.28375
2018-06-01 01:19:00,818765,818800,818646,818800,1.85314236,1517306.1344,818774.72941
2018-06-01 01:20:00,818800,819000,818700,818893,1.92633222,1577382.0425,818852.5458300002
2018-06-01 01:21:00,818686,819025,818642,819025,0.6061,496264.95216,818783.9501100002
2018-06-01 01:22:00,819025,819243,818800,818800,3.37630547,2764881.5615,818907.40812
2018-06-01 01:23:00,818800,819500,818800,819400,7.02904729,5758603.5609,819258.04782
2018-06-01 01:24:00,819400,819471,819284,819291,1.78029935,1458663.0104,819335.8102300002
2018-06-01 01:25:00,819348,819609,819339,819609,0.44951439,368396.42967,819543.1289199998
2018-06-01 01:26:00,819609,819663,819348,819609,9.13,7482926.07,819597.59803
2018-06-01 01:27:00,819433,819626,819171,819397,3.26320075,2673738.2248,819360.6307399998
2018-06-01 01:28:00,819645,819998,819500,819600,5.9534723,4880596.7872,819789.95472
2018-06-01 01:29:00,819600,819998,819171,819428,0.98384544,806314.54057,819554.07607
2018-06-01 01:30:00,819428,819428,818630,818630,2.56385456,2099626.2256,818933.43652
2018-06-01 01:31:00,818630,819137,818544,819068,1.609529,1318080.2213,818922.94038
2018-06-01 01:32:00,819069,819143,818648,818648,1.8565,1520101.4055,818799.57204
2018-06-01 01:33:00,818719,818816,818497,818677,2.2475,1839983.7371,818680.1944800002
2018-06-01 01:34:00,818497,818524,818497,818524,0.12545847,102690.08132,818518.52107
2018-06-01 01:35:00,818524,818667,818361,818500,0.113302,92740.549022,818525.26012
2018-06-01 01:36:00,818677,819710,818675,819619,12.82130614,10503016.76,819184.6170399998
2018-06-01 01:37:00,819292,819619,818658,819604,3.88097709,3179182.7709,819170.71325
2018-06-01 01:38:00,819618,820000,819158,819764,8.91816324,7310537.7071,819735.80325
2018-06-01 01:39:00,819635,819719,819619,819719,0.4987,408760.8839,819652.86525
2018-06-01 01:40:00,819998,819999,819709,819871,1.28637539,1054659.3057,819869.00082
2018-06-01 01:41:00,819508,819709,819048,819438,1.865104,1528231.3588,819381.30999
2018-06-01 01:42:00,819304,819387,818768,818768,1.0549,864304.4615,819323.59608
2018-06-01 01:43:00,818777,818966,818312,818931,2.427,1986926.4788,818675.92863
2018-06-01 01:44:00,819111,819476,819111,819463,1.8864662,1545777.7398,819403.88848
2018-06-01 01:45:00,819506,819506,819269,819316,0.46135222,378001.57048,819334.0231100002
2018-06-01 01:46:00,819328,819330,819321,819321,0.2744,224823.9124,819329.12682
2018-06-01 01:47:00,819321,819481,819070,819240,3.13194317,2565876.9482,819260.3789100002
2018-06-01 01:48:00,819234,819240,819234,819240,1.21,991279.73471,819239.45018
2018-06-01 01:49:00,819000,819041,819000,819000,1.57294781,1288250.4474,819003.93592
2018-06-01 01:50:00,819000,819000,818743,818743,4.20745332,3445505.4192,818905.2039600002
2018-06-01 01:51:00,818632,819041,818098,818199,7.09464177,5807387.7207,818559.68335
2018-06-01 01:52:00,818590,818590,817886,818010,2.64838857,2166398.4449,818006.26594
2018-06-01 01:53:00,818019,818356,817774,818102,4.82001,3942620.3857,817969.33734
2018-06-01 01:54:00,818273,818525,817910,818500,6.37860498,5220228.72,818396.61436
